Country,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
China,1384206408,1391883335,1399453966,1406847868,1414049353,1421021794,1427647789,1433783692,1439323774,1444216102,1448471404
India,1265780243,1280842119,1295600768,1310152392,1324517250,1338676779,1352642283,1366417756,1380004385,1393409033,1406631781
United States of America,314043885,316400539,318673422,320878312,323015992,325084758,327096263,329064917,331002647,332915074,334805268
Indonesia,248451714,251805314,255128076,258383257,261556386,264650969,267670549,270625567,273523621,276361788,279134505
Brazil,199287292,201035904,202763744,204471759,206163056,207906210,212228288,216565317,220892331,225199929,229488996
Pakistan,187280125,191260799,195305012,199426953,203631356,207833825,209469320,211049519,212559409,213993441,216746933
Nigeria,167228803,171765819,176404931,181137454,185960244,190873247,195874685,200963603,206139587,211400704,215353588
Bangladesh,151005733,152761413,154517385,156256287,157977151,159685421,161376713,163046173,164689383,166303494,167885680
Russian Federation,143993888,144325456,144664837,144985059,145275374,145530091,145734034,145872260,145934460,145912022,145805944
Japan,128423571,128314189,128168630,127985139,127763267,127502728,127202190,127575529,128932753,130262220,131562775
Mexico,117274156,118827158,120355137,121858251,123333379,124777326,126190782,126860299,126476458,126050796,125584839
Philippines,97212639,98871558,100513137,102113206,103663812,106399926,109224410,112078727,114963583,117876226,120812698
Ethiopia,92726982,95385793,98094264,100835453,103603461,105172921,106651394,108116622,109581085,111046910,112508991
Viet Nam,89801926,90752593,91713850,92677082,94447071,96442590,98423602,100388076,102334403,104258327,106156692
Egypt,86422240,88404652,90424668,92442549,93640435,94600643,95545959,96462108,97338583,98168829,98953535
Germany,80972629,81174373,81450370,81787411,82193770,82658409,84068092,86790568,89561404,92377986,95240782
Turkey,75539881,76481963,77465769,78529413,79827868,81398765,83124413,83517046,84339067,85042736,86022843
Iran,74651046,75925454,77229262,78492208,79563991,81116451,82340090,83429607,83992953,85028760,85561976
D.R. Congo,69020749,71358804,73767445,76244532,78789130,80673888,81800204,82913893,83783945,83900471,83883587
Thailand,67835969,68144519,68438748,68714519,68971313,69209817,69428454,69625581,69799978,69950844,70078198
United Kingdom,64525300,64984015,65423048,65860149,66297944,66727463,67141678,67530161,67886004,68207114,68497913
France,63564224,63893521,64193550,64453194,64667590,64842513,64990512,65129731,65273512,65426177,65584514
Italy,59879469,60166828,60409622,60578489,60663068,60673694,60627291,60550092,60461828,61498438,63298542
South Africa,52832659,53687125,54544184,55386369,56207649,57009751,57792520,58558267,59734213,60367471,60756134
Myanmar,51413703,51852464,52280816,52680724,53049231,54660345,56313444,58005461,59308690,60041996,60262779
Tanzania,50060639,50345720,50607904,51482638,53045199,53382521,53708318,54045422,54409794,54985702,56215224
Republic of Korea,47063059,48483132,49960563,50823087,50983446,51096408,51392570,52573967,53771300,54806014,55227152
Kenya,47053033,46930554,46967706,47878339,49051531,50221146,51171700,51225321,51269183,51305184,51512766
Colombia,46075721,46495492,46777927,47520667,48175048,48909844,49661056,50339443,50882884,51265841,51329905
Spain,45453805,45519986,46700063,46671919,46634131,46647425,46692863,46736782,46754783,47123533,48432873
Ukraine,44343469,45286988,45111530,44921636,44713708,44487708,44361150,44780675,45741000,46745211,46719147
Argentina,41755188,42196034,42637508,43075416,43508459,43937143,44246158,44269587,45195777,45605823,46010234
Algeria,38227033,38158043,38923688,39728020,40551398,41389174,42729032,43993643,43851043,44909351,45992018
Sudan,37383899,38140135,38091095,38902948,39847433,41166588,42228415,43053054,43849269,44616626,45350141
Uganda,36193781,37072555,37977657,38225447,39649173,40813398,41801532,42813237,43733759,43466822,43192120
Poland,34922031,35694519,36911530,38034076,37989218,37953176,38433604,39309789,40222503,41179351,42164963
Canada,34558700,35296535,35664338,36026668,36610632,37552789,37921585,38041757,38928341,39835428,40754385
Iraq,33241898,33715705,34411949,35572269,36382942,36732091,37171922,37887771,37846605,38067913,38388416
Morocco,31890012,33157061,34192358,34663608,35383028,36296111,37074558,37411038,37742157,37797000,37772757
Afghanistan,31161378,32269592,33370804,34413603,35126274,35581257,36029089,36471766,36910558,37344787,37739779
Saudi Arabia,29506790,30052058,30916603,31717676,32443443,33101183,33702757,34268529,34813867,35340680,35844913
